"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id","predict.orr","predict.or","pred.knn","pred.lda","pred.mlp","pred.mlpe","pred.randfor","pred.or"
"1",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,2,"6","6",7,7,6,6,6,"6"
"2",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,4,"6","6",6,6,7,6,6,"6"
"3",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,5,"6","6",6,6,6,6,6,"6"
"4",10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,6,"5","5",5,5,5,5,5,"5"
"5",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3,8,"6","6",8,8,6,6,6,"6"
"6",11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3,13,"5","5",5,5,5,5,5,"5"
"7",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,14,"5","5",5,5,5,5,5,"5"
"8",6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3,15,"6","6",6,6,6,6,6,"6"
"9",7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,25,"6","6",8,8,6,5,5,"6"
"10",6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,27,"4","4",4,4,4,4,4,"4"
"11",5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,29,"6","6",6,6,6,6,6,"6"
"12",10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,30,"5","5",5,5,5,5,5,"5"
"13",5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,32,"6","6",5,5,6,6,6,"6"
"14",6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,34,"5","5",5,5,5,5,5,"5"
"15",6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4,35,"5","5",5,5,5,5,5,"5"
"16",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,37,"5","5",4,4,5,5,5,"5"
"17",7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,39,"6","6",5,5,6,6,6,"6"
"18",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,40,"6","6",6,6,6,6,6,"6"
"19",6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4,42,"5","5",5,5,5,5,5,"5"
"20",6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4,44,"6","6",6,6,5,5,5,"6"
"21",6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,49,"6","6",6,6,6,5,5,"6"
"22",7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4,50,"6","6",6,6,6,6,6,"6"
"23",6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,55,"4","4",4,4,4,5,5,"4"
"24",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,57,"5","5",5,5,5,5,5,"5"
"25",8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,58,"5","5",5,5,5,5,5,"5"
"26",6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4,59,"5","5",6,6,5,5,5,"5"
"27",7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,61,"5","5",5,5,5,5,5,"5"
"28",9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4,62,"5","5",5,5,5,5,5,"5"
"29",6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4,65,"5","5",5,5,5,5,5,"5"
"30",6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,66,"5","5",5,5,5,5,5,"5"
"31",6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4,70,"6","6",6,6,6,6,6,"6"
"32",6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4,71,"6","6",6,6,6,6,6,"6"
"33",6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4,73,"5","5",6,6,5,5,5,"5"
"34",9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4,76,"6","6",5,5,5,6,6,"6"
"35",7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,77,"5","5",5,5,5,5,5,"5"
"36",6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4,86,"5","5",6,6,6,6,6,"5"
"37",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4,88,"5","5",5,5,6,6,6,"5"
"38",6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,90,"5","5",5,5,5,5,5,"5"
"39",8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4,93,"6","6",8,8,5,5,5,"6"
"40",6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4,94,"5","5",6,6,5,6,6,"5"
"41",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4,96,"4","4",4,4,5,4,4,"4"
"42",6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,101,"6","6",6,6,6,6,6,"6"
"43",8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,102,"6","6",6,6,5,6,6,"6"
"44",7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4,104,"6","6",5,5,6,6,6,"6"
"45",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,108,"5","5",4,4,5,5,5,"5"
"46",7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,110,"5","5",5,5,5,6,6,"5"
"47",7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4,112,"5","5",5,5,5,6,6,"5"
"48",6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4,114,"5","5",4,4,5,5,5,"5"
"49",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,121,"6","6",6,6,6,6,6,"6"
"50",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,123,"6","6",6,6,6,6,6,"6"
